1) 0.0	: 19.64969602801709
500) 232.12484968671546	: 13.866562016107661
501) 232.59002974620788	: 15.970226934360474
502) 233.0552098057003	: 13.854956360007375
503) 233.5203898651927	: 13.113200672529356
504) 233.98556992468514	: 16.02083767322866
505) 234.45074998417755	: 14.720505545137607
506) 234.91593004366996	: 15.54715279088262
507) 235.38111010316237	: 11.92136714045705
508) 235.84629016265478	: 11.322238856925917
509) 236.3114702221472	: 13.627098894893043
510) 236.77665028163963	: 15.25453110792534
511) 237.24183034113204	: 15.476431825339926
512) 237.70701040062445	: 14.780437224931621
513) 238.17219046011687	: 13.780847176822736
514) 238.63737051960928	: 13.446390789582463
515) 239.1025505791017	: 13.241881703258816
516) 239.5677306385941	: 14.646424491549098
517) 240.03291069808654	: 14.257144441447645
518) 240.49809075757895	: 14.115806530495684
519) 240.96327081707136	: 15.066163243179599
520) 241.42845087656377	: 14.273960801865794
521) 241.89363093605618	: 15.225849930040784
522) 242.3588109955486	: 13.081270064286482
523) 242.82399105504103	: 14.641111291883027
524) 243.28917111453345	: 15.383581095112849
525) 243.75435117402586	: 15.413937465628347
526) 244.21953123351827	: 15.13072322502082
527) 244.68471129301068	: 15.57753999673947
528) 245.1498913525031	: 15.82384651187402
529) 245.61507141199553	: 15.670920145918313
530) 246.08025147148794	: 14.232876810278276
531) 246.54543153098035	: 16.08313853515844
532) 247.01061159047276	: 12.65588943240994
533) 247.47579164996517	: 15.379635203223518
534) 247.94097170945759	: 13.366876053963775
535) 248.40615176895002	: 12.716028764189028
536) 248.87133182844244	: 10.158824995294218
537) 249.33651188793485	: 15.079308414111868
538) 249.80169194742726	: 15.507647884304012
539) 250.26687200691967	: 13.927375438571811
540) 250.73205206641208	: 12.967451882301223
541) 251.19723212590452	: 14.806595179746036
542) 251.66241218539693	: 15.358768760113666
543) 252.12759224488934	: 14.225687895991388
544) 252.59277230438175	: 15.32374230734381
545) 253.05795236387416	: 13.737921188045735
546) 253.52313242336658	: 15.759399709527724
547) 253.98831248285902	: 15.054791059739761
548) 254.45349254235143	: 15.872634174094799
549) 254.91867260184384	: 16.381486559596322
550) 255.38385266133625	: 16.28957542182224
551) 255.84903272082866	: 15.197854308250403
552) 256.3142127803211	: 14.9182062753542
553) 256.7793928398135	: 10.787659547510067
554) 257.2445728993059	: 15.69954304838581
555) 257.70975295879833	: 15.236114804649963
556) 258.17493301829074	: 15.789872974041355
557) 258.64011307778316	: 16.13256038964086
558) 259.10529313727557	: 15.5531043541456
559) 259.570473196768	: 15.809565525579265
560) 260.0356532562604	: 14.679609735764114
561) 260.5008333157528	: 15.681077092275297
562) 260.9660133752452	: 15.93947761046033
563) 261.4311934347377	: 15.579111591737577
564) 261.8963734942301	: 14.653167158762267
565) 262.3615535537225	: 17.134657846633274
566) 262.8267336132149	: 15.024201812422714
567) 263.2919136727073	: 16.289546708441446
568) 263.75709373219973	: 14.808418727766712
569) 264.22227379169215	: 14.548533135506483
570) 264.68745385118456	: 14.508873440073609
571) 265.15263391067697	: 14.747163826640975
572) 265.6178139701694	: 15.225622685608204
573) 266.0829940296618	: 15.451529053316694
574) 266.5481740891542	: 15.23881647295392
575) 267.01335414864667	: 15.284622588546592
576) 267.4785342081391	: 15.301049741217474
577) 267.9437142676315	: 13.843249447841135
578) 268.4088943271239	: 14.452404840429313
579) 268.8740743866163	: 15.204629385253217
580) 269.3392544461087	: 15.390191659053636
581) 269.80443450560114	: 10.464855396500798
582) 270.26961456509355	: 14.410979459102231
583) 270.73479462458596	: 15.95364124574236
584) 271.19997468407837	: 14.414025649840445
585) 271.6651547435708	: 15.18402527076088
586) 272.1303348030632	: 15.249122624982173
587) 272.5955148625556	: 14.04477102001421
588) 273.06069492204807	: 13.17370275717172
589) 273.5258749815405	: 14.918437631258394
590) 273.9910550410329	: 14.260204447252509
591) 274.4562351005253	: 14.499811911832817
592) 274.9214151600177	: 14.882372228356072
593) 275.3865952195101	: 14.928361541711192
594) 275.85177527900254	: 15.333591288359909
595) 276.31695533849495	: 13.938981372837938
596) 276.78213539798736	: 15.487967473391546
597) 277.2473154574798	: 13.294328991813837
598) 277.7124955169722	: 15.00045599554456
599) 278.1776755764646	: 14.741595289524046
600) 278.64285563595706	: 15.773551611933106
601) 279.1080356954495	: 15.721792887356205
602) 279.5732157549419	: 15.26690366123143
603) 280.0383958144343	: 15.278763729211377
604) 280.5035758739267	: 14.86553106159378
605) 280.9687559334191	: 15.509128196659045
606) 281.43393599291153	: 12.425398240904542
607) 281.89911605240394	: 14.095889851812325
608) 282.36429611189635	: 14.749894509457182
609) 282.82947617138876	: 14.860047738217123
610) 283.2946562308812	: 15.582452617373937
611) 283.7598362903736	: 15.251860120565402
612) 284.22501634986605	: 16.33688794327843
613) 284.69019640935846	: 16.564236744649754
614) 285.1553764688509	: 17.555218093084708
615) 285.6205565283433	: 16.94058574802724
616) 286.0857365878357	: 17.596479424394133
617) 286.5509166473281	: 16.84658910719565
618) 287.0160967068205	: 15.595124726035488
619) 287.48127676631293	: 15.92423184191181
620) 287.94645682580534	: 17.561007340241993
621) 288.41163688529775	: 15.910331229113698
622) 288.87681694479016	: 15.771398251284413
623) 289.3419970042826	: 16.593150769532844
624) 289.807177063775	: 16.255271145957142
625) 290.27235712326745	: 16.021087751817273
626) 290.73753718275987	: 13.059801218484958
627) 291.2027172422523	: 15.872025095950352
628) 291.6678973017447	: 17.05976833667814
629) 292.1330773612371	: 16.782108411003428
630) 292.5982574207295	: 12.55966844454291
631) 293.0634374802219	: 15.033437909675381
632) 293.52861753971433	: 16.12242013449967
633) 293.99379759920674	: 15.242794930130021
634) 294.45897765869915	: 15.62941907871473
635) 294.92415771819157	: 15.78871698131764
636) 295.389337777684	: 16.47151962541348
637) 295.85451783717645	: 17.09970206222839
638) 296.31969789666886	: 17.317131735671428
639) 296.78487795616127	: 16.107145643759353
640) 297.2500580156537	: 16.652613148867996
641) 297.7152380751461	: 14.964650521857294
642) 298.1804181346385	: 16.191208723578235
643) 298.6455981941309	: 14.38092212723563
644) 299.1107782536233	: 16.750852491774296
645) 299.57595831311573	: 16.332364108336215
646) 300.04113837260815	: 17.094099967542178
647) 300.50631843210056	: 16.809971755805517
648) 300.97149849159297	: 17.481043754571395
649) 301.43667855108544	: 13.97694616520557
650) 301.90185861057785	: 16.64431633988532
651) 302.36703867007026	: 16.582108894983236
652) 302.83221872956267	: 15.839011803554678
653) 303.2973987890551	: 16.31827437980211
654) 303.7625788485475	: 15.060527844986336
655) 304.2277589080399	: 16.219238865006243
656) 304.6929389675323	: 15.586880124646376
657) 305.1581190270247	: 16.261847962162324
658) 305.62329908651714	: 15.59991685906687
659) 306.08847914600955	: 17.00495552245582
660) 306.55365920550196	: 16.604794907320674
661) 307.01883926499437	: 14.683762962546442
662) 307.48401932448684	: 16.38873213726818
